,LATITUDE,LONGITUDE,Coordinates,,Value
Business Services Complex,,,,,
Facilities Management West,,,"40.82377675799188, -96.69388738747979",,
Devaney Northeast,,,"40.83109948041996, -96.69704702967736",,
Library Retrieval,,,"40.83320675327538, -96.67069051580168",,
East Campus Loop/37th-33rd,,,"40.83332851732206, -96.6689524443945",,
Fair Street/39th-38th,,,"40.83150203297461, -96.66504714829752",,
Fair Street,,,"40.831924158270795, -96.66823361251045",,
35th & Fair Street,,,"40.831842980537694, -96.6695854457748",,
Whittier Street,,,,,
Kiesselbach Lab,,,"40.831462974541175, -96.66742843051726",,
Quilt Center,,,"40.82875374378117, -96.67343381695865",,
Husker Hall,,,"40.82012378378319, -96.6883206877501",,
14th & Court Street,,,"40.828266854521274, -96.7008385571241",,
Hawks CC Service,,,"40.822889963661865, -96.70477903169486",,
Utility Plant,,,"40.822961292235966, -96.70193866113608",,
Manter Service,,,"40.819070862067285, -96.70536289617533",,
Animal Science Dock[North],,,"40.83211520870924, -96.66371471517547",,
Engineering,,,,,
Kiewit,,,"40.82129113845539, -96.6962873862756",,
Staples Lab,,,"40.83148481017582, -96.6697761942247",,
Leverton Dock,,,"40.830904275704135, -96.6694120170235",,
Insectary,,,"40.831620902836626, -96.66448748465827",,
17th & X STREET,,,"40.82416030379416, -96.69756927757894",,
East Campus Loop/38th-37th St.,,,"40.833327434513464, -96.66570128465827",,
Beadle North,,,"40.819974279204615, -96.69307417093391",,
Knoll Residence,,,"40.8178448809265, -96.69580040217504",,
Vine Street Apts,,,"40.821226891332, -96.68827395935314",,
Whittier East,,,"40.82207449743077, -96.68927734585944",,
East Campus Mall,,,"40.83062082286345, -96.66913509815198",,
Lied Center Dock,,,"40.816235944195824, -96.70477333421401",,
Plant Science Dock,,,"40.83129348559414, -96.66607168634008",,
Devaney ADA Lot,,,"40.83039950339957, -96.69788717781874",,
Arbor Drive,,,"40.83001917013541, -96.66666397116457",,
Service Bldg East,,,"40.83205866396035, -96.66826726733545",,
Seaton Hall Dr.,40.81991276,-96.69907217,"40.8199127563516, -96.6990721691509",,
14th & R Accessible Parking,40.81715539,-96.70115059,"40.8171553888302, -96.7011505882694",,
Ag Communications Bldg,40.82892457,-96.66842581,"40.8289245729668, -96.6684258141466",,
Nebraska Hall Dock,,,,,
Center Drive,40.81954348,-96.70676776,"40.81954348, -96.70676776",,
State Vehicle Lot,,,,,
